Area name,Area code,Total Number of Elderly Individuals,F3,total,Proportion of Homes owned outright,Number of Outright Ownership,Proportion of Elderly Individuals,Region
County Durham,E06000047,146400,81045,234765,0.345217558,522100,0.280406052,North East
Darlington,E06000005,29100,16220,48920,0.331561733,107800,0.269944341,North East
Hartlepool,E06000001,24600,12760,40935,0.311713692,92300,0.266522210,North East
Middlesbrough,E06000002,32900,17225,60265,0.285820957,143900,0.228630994,North East
Northumberland,E06000057,106400,56685,146925,0.385809086,320600,0.331877729,North East
Redcar and Cleveland,E06000003,41400,22650,61640,0.367456197,136500,0.303296703,North East
Stockton-on-Tees,E06000004,50000,27725,83755,0.331025013,196600,0.254323499,North East
Gateshead,E08000037,52300,27160,89000,0.305168539,196100,0.266700663,North East
Newcastle upon Tyne,E08000021,60100,30705,122795,0.250050898,300200,0.200199867,North East
North Tyneside,E08000022,56400,31040,96235,0.322543773,209000,0.269856459,North East
South Tyneside,E08000023,41400,20505,68290,0.300263582,147800,0.280108254,North East
Sunderland,E08000024,75100,38310,122175,0.313566605,274200,0.273887673,North East
Blackburn with Darwen,E06000008,30500,19575,58770,0.333078101,154800,0.197028424,North West
Blackpool,E06000009,38700,20350,64790,0.314091681,141100,0.274273565,North West
Cheshire East,E06000049,114800,69190,174855,0.395699294,398800,0.287863591,North West
Cheshire West and Chester,E06000050,98600,57620,155155,0.371370565,357200,0.276035834,North West
Halton,E06000006,32100,17095,55955,0.305513359,128200,0.250390016,North West
Warrington,E06000007,52900,31940,90530,0.352811223,210900,0.250829777,North West
Allerdale,E07000026,30900,18770,43970,0.426881965,96100,0.321540062,North West
Barrow-in-Furness,E07000027,19100,12250,31260,0.391874600,67400,0.283382789,North West
Carlisle,E07000028,31600,19425,50660,0.383438610,110000,0.287272727,North West
Copeland,E07000029,20700,12990,30795,0.421821724,67100,0.308494784,North West
Eden,E07000030,18900,11660,24605,0.473887421,54700,0.345521024,North West
South Lakeland,E07000031,37400,22395,47655,0.469940195,104500,0.357894737,North West
Bolton,E08000001,67000,39475,118790,0.332309117,296000,0.226351351,North West
Bury,E08000002,46700,27750,80695,0.343887478,193800,0.240970072,North West
Manchester,E08000003,73700,35425,214730,0.164974619,552000,0.133514493,North West
Oldham,E08000004,51200,29385,93140,0.315492807,242100,0.211482858,North West
Rochdale,E08000005,49400,27410,90220,0.303812902,223800,0.220732797,North West
Salford,E08000006,48700,25295,115115,0.219736785,269900,0.180437199,North West
Stockport,E08000007,77100,46500,126650,0.367153573,294800,0.261533243,North West
Tameside,E08000008,54400,30365,99530,0.305083894,231100,0.235395932,North West
Trafford,E08000009,54500,33150,96275,0.344326149,235100,0.231816248,North West
Wigan,E08000010,83300,49210,143105,0.343873380,329300,0.252960826,North West
Burnley,E07000117,22400,13050,39865,0.327354823,94700,0.236536431,North West
Chorley,E07000118,31500,18560,50140,0.370163542,117800,0.267402377,North West
Fylde,E07000119,29000,16370,37615,0.435198724,81400,0.356265356,North West
Hyndburn,E07000120,19700,11915,34785,0.342532701,82200,0.239659367,North West
Lancaster,E07000121,38100,23150,59980,0.385961987,142900,0.266620014,North West
Pendle,E07000122,22800,14125,38060,0.371124540,95800,0.237995825,North West
Preston,E07000123,29500,18220,59615,0.305627778,147900,0.199459094,North West
Ribble Valley,E07000124,19400,11655,26745,0.435782389,61500,0.315447154,North West
Rossendale,E07000125,18100,10560,30560,0.345549738,70800,0.255649718,North West
South Ribble,E07000126,31100,19430,48585,0.399917670,111000,0.280180180,North West
West Lancashire,E07000127,33500,18985,48535,0.391161018,117400,0.285349233,North West
Wyre,E07000128,39500,22700,50770,0.447114438,111900,0.352993744,North West
Knowsley,E08000011,36700,18900,66075,0.286038593,154500,0.237540453,North West
Liverpool,E08000012,101800,50395,207500,0.242867470,486100,0.209421930,North West
Sefton,E08000014,84500,46425,123075,0.377209019,279300,0.302542069,North West
St. Helens,E08000013,49100,28025,81015,0.345923594,183200,0.268013100,North West
Wirral,E08000015,91900,51335,143255,0.358347004,320200,0.287008120,North West
East Riding of Yorkshire,E06000011,115400,65680,152065,0.431920560,342200,0.337229690,Yorkshire and The Humber
"Kingston upon Hull, City of",E06000010,55700,26695,115470,0.231185589,267100,0.208536129,Yorkshire and The Humber
North East Lincolnshire,E06000012,43000,24375,69830,0.349062008,156900,0.274059911,Yorkshire and The Humber
North Lincolnshire,E06000013,48600,27830,73175,0.380321148,169700,0.286387743,Yorkshire and The Humber
York,E06000014,50000,31455,85465,0.368045399,202800,0.246548323,Yorkshire and The Humber
Craven,E07000163,20100,11825,26070,0.453586498,56900,0.353251318,Yorkshire and The Humber
Hambleton,E07000164,31600,17770,40795,0.435592597,90700,0.348401323,Yorkshire and The Humber
Harrogate,E07000165,49200,28935,71165,0.406590318,162700,0.302397050,Yorkshire and The Humber
Richmondshire,E07000166,15300,8520,20945,0.406779661,49700,0.307847082,Yorkshire and The Humber
Ryedale,E07000167,19400,10820,24710,0.437879401,54700,0.354661792,Yorkshire and The Humber
Scarborough,E07000168,38400,21165,51125,0.413985330,108800,0.352941176,Yorkshire and The Humber
Selby,E07000169,25100,14590,39560,0.368806876,92000,0.272826087,Yorkshire and The Humber
Barnsley,E08000016,63300,35620,108055,0.329646939,244600,0.258789861,Yorkshire and The Humber
Doncaster,E08000017,79400,44880,133480,0.336230147,308100,0.257708536,Yorkshire and The Humber
Rotherham,E08000018,68600,38320,113925,0.336361641,265800,0.258088789,Yorkshire and The Humber
Sheffield,E08000019,124300,71905,231950,0.310002156,556500,0.223360288,Yorkshire and The Humber
Bradford,E08000032,111800,66875,209870,0.318649640,546400,0.204612006,Yorkshire and The Humber
Calderdale,E08000033,52200,31270,90475,0.345620337,206600,0.252662149,Yorkshire and The Humber
Kirklees,E08000034,101300,62350,177990,0.350300579,433300,0.233787214,Yorkshire and The Humber
Leeds,E08000035,167500,95450,341455,0.279539031,812000,0.206280788,Yorkshire and The Humber
Wakefield,E08000036,88100,48565,153075,0.317262780,353300,0.249363147,Yorkshire and The Humber
Derby,E06000015,56100,33385,105655,0.315981260,261400,0.214613619,East Midlands
Leicester,E06000016,60800,31325,127390,0.245898422,368600,0.164948454,East Midlands
North Northamptonshire,E06000061,86000,47615,148915,0.319746164,359500,0.239221140,East Midlands
Nottingham,E06000018,51900,27940,124745,0.223976913,323700,0.160333642,East Midlands
Rutland,E06000017,13000,7290,16685,0.436919389,41000,0.317073171,East Midlands
West Northamptonshire,E06000062,96200,53780,172640,0.311515292,425700,0.225980738,East Midlands
Amber Valley,E07000032,37000,23050,56275,0.409595735,126200,0.293185420,East Midlands
Bolsover,E07000033,21500,12390,35260,0.351389677,80300,0.267745953,East Midlands
Chesterfield,E07000034,29200,17250,48060,0.358926342,103600,0.281853282,East Midlands
Derbyshire Dales,E07000035,25600,15405,32285,0.477156574,71500,0.358041958,East Midlands
Erewash,E07000036,30500,18885,50335,0.375186252,112900,0.270150576,East Midlands
High Peak,E07000037,26600,16365,40770,0.401398087,90900,0.292629263,East Midlands
North East Derbyshire,E07000038,32400,18960,45985,0.412308361,102000,0.317647059,East Midlands
South Derbyshire,E07000039,26400,16390,45245,0.362249972,107200,0.246268657,East Midlands
Blaby,E07000129,27400,17010,42560,0.399671053,102900,0.266277940,East Midlands
