Area name,Area code,region name,Owned,Proportion Owned,Rented,Proportion Rented,Ratio,Mean house price 2021
Hartlepool,E06000001,North East,2285,0.334798535,4540,0.665201465,4.58,170058.87848
Middlesbrough,E06000002,North East,3655,0.304076539,8365,0.695923461,5.12,160388.32394
Redcar and Cleveland,E06000003,North East,3445,0.407451212,5010,0.592548788,5.61,160003.08511
Stockton-on-Tees,E06000004,North East,5925,0.449886105,7245,0.550113895,5.35,191476.24304
Darlington,E06000005,North East,2945,0.365611421,5110,0.634388579,5.29,191655.3405
County Durham,E06000047,North East,13305,0.358335578,23825,0.641664422,4.74,158462.39009
Northumberland,E06000057,North East,7135,0.395839112,10890,0.604160888,6.77,244784.24198
Newcastle upon Tyne,E08000021,North East,7615,0.260520014,21615,0.739479986,5.9,232772.99774
North Tyneside,E08000022,North East,6150,0.418082937,8560,0.581917063,6.53,211972.4503
South Tyneside,E08000023,North East,3775,0.358499525,6755,0.641500475,5.85,176767.35314
Sunderland,E08000024,North East,6825,0.354821939,12410,0.645178061,4.96,164055.72492
Gateshead,E08000037,North East,5255,0.358091993,9420,0.641908007,5.69,177628.75448
Halton,E06000006,North West,3115,0.35,5785,0.65,5.47,192270.03314
Warrington,E06000007,North West,5510,0.418375095,7660,0.581624905,7.08,270148.26354
Blackburn with Darwen,E06000008,North West,3685,0.379115226,6035,0.620884774,4.85,164860.77126
Blackpool,E06000009,North West,3265,0.312589756,7180,0.687410244,4.34,133515.1139
Cheshire East,E06000049,North West,10920,0.473649967,12135,0.526350033,8.79,342238.56564
Cheshire West and Chester,E06000050,North West,9650,0.426236749,12990,0.573763251,7.18,288851.25629
Allerdale,E07000026,North West,2595,0.453275109,3130,0.546724891,6.6,215787.01308
Barrow-in-Furness,E07000027,North West,2675,0.496750232,2710,0.503249768,3.74,166912.67941
Carlisle,E07000028,North West,3415,0.411445783,4885,0.588554217,5.41,185463.14126
Copeland,E07000029,North West,2230,0.512055109,2125,0.487944891,2.71,165903.68147
Eden,E07000030,North West,1150,0.451866405,1395,0.548133595,8.39,263766.51883
South Lakeland,E07000031,North West,2155,0.445708376,2680,0.554291624,10.12,321566.15158
Burnley,E07000117,North West,2400,0.349599417,4465,0.650400583,4.69,131264.06728
Chorley,E07000118,North West,3375,0.488069414,3540,0.511930586,7.02,233825.94392
Fylde,E07000119,North West,1805,0.454659950,2165,0.545340050,6.75,266655.53397
Hyndburn,E07000120,North West,2360,0.402730375,3500,0.597269625,4.26,131003.15778
Lancaster,E07000121,North West,3515,0.359959037,6250,0.640040963,6.34,215762.82529
Pendle,E07000122,North West,2355,0.414248021,3330,0.585751979,5.34,167665.97622
Preston,E07000123,North West,3840,0.307077169,8665,0.692922831,5.54,198526.94447
Ribble Valley,E07000124,North West,1620,0.570422535,1220,0.429577465,6.43,297106.70992
Rossendale,E07000125,North West,2115,0.483428571,2260,0.516571429,7.12,199058.67309
South Ribble,E07000126,North West,3615,0.549392097,2965,0.450607903,5.98,212274.42112
West Lancashire,E07000127,North West,2630,0.412872841,3740,0.587127159,7.47,254932.24406
Wyre,E07000128,North West,2575,0.464382326,2970,0.535617674,6.81,217561.76753
Bolton,E08000001,North West,6950,0.384402655,11130,0.615597345,6.02,194153.07831
Bury,E08000002,North West,5080,0.426890756,6820,0.573109244,7.5,236368.25679
Manchester,E08000003,North West,11870,0.196979754,48390,0.803020246,6.67,255395.84724
Oldham,E08000004,North West,5345,0.371955463,9025,0.628044537,5.99,197474.63088
Rochdale,E08000005,North West,5705,0.394809689,8745,0.605190311,6.23,190666.50239
Salford,E08000006,North West,7885,0.255136709,23020,0.744863291,6.74,227019.01986
Stockport,E08000007,North West,8160,0.459459459,9600,0.540540541,10.01,314259.55344
Tameside,E08000008,North West,6240,0.385066338,9965,0.614933662,6.61,193804.6963
Trafford,E08000009,North West,5125,0.416159156,7190,0.583840844,10.3,387174.83672
Wigan,E08000010,North West,10305,0.455771782,12305,0.544228218,5.67,181416.69506
Knowsley,E08000011,North West,4810,0.426986241,6455,0.573013759,5.21,175375.34058
Liverpool,E08000012,North West,10400,0.226876091,35440,0.773123909,5.05,190477.22472
St. Helens,E08000013,North West,5020,0.404838710,7380,0.595161290,4.69,175180.71616
Sefton,E08000014,North West,5960,0.405718176,8730,0.594281824,6.78,233220.17501
Wirral,E08000015,North West,7160,0.370025840,12190,0.629974160,7.22,238874.07088
