region name,Area code,Area name,Owned,Proportion Owned,Rented,Proportion Rented,Ratio
North East,E06000001,Hartlepool,2285,0.334798535,4540,0.665201465,4.58
North East,E06000002,Middlesbrough,3655,0.304076539,8365,0.695923461,5.12
North East,E06000003,Redcar and Cleveland,3445,0.407451212,5010,0.592548788,5.61
North East,E06000004,Stockton-on-Tees,5925,0.449886105,7245,0.550113895,5.35
North East,E06000005,Darlington,2945,0.365611421,5110,0.634388579,5.29
North West,E06000006,Halton,3115,0.35,5785,0.65,5.47
North West,E06000007,Warrington,5510,0.418375095,7660,0.581624905,7.08
North West,E06000008,Blackburn with Darwen,3685,0.379115226,6035,0.620884774,4.85
North West,E06000009,Blackpool,3265,0.312589756,7180,0.687410244,4.34
Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",7470,0.294326241,17910,0.705673759,4.39
Yorkshire and The Humber,E06000011,East Riding of Yorkshire,8415,0.492249196,8680,0.507750804,7.24
Yorkshire and The Humber,E06000012,North East Lincolnshire,4225,0.368191721,7250,0.631808279,5.53
Yorkshire and The Humber,E06000013,North Lincolnshire,4335,0.419043016,6010,0.580956984,5.42
Yorkshire and The Humber,E06000014,York,4935,0.300822920,11470,0.699177080,8.41
East Midlands,E06000015,Derby,6405,0.328883184,13070,0.671116816,5.08
East Midlands,E06000016,Leicester,5260,0.206072478,20265,0.793927522,7.57
East Midlands,E06000017,Rutland,650,0.390390390,1015,0.609609610,12.12
East Midlands,E06000018,Nottingham,6825,0.212220149,25335,0.787779851,5.81
West Midlands,E06000019,"Herefordshire, County of",3555,0.357825868,6380,0.642174132,10.27
West Midlands,E06000020,Telford and Wrekin,4640,0.355828221,8400,0.644171779,6.53
West Midlands,E06000021,Stoke-on-Trent,7055,0.330135704,14315,0.669864296,4.58
South West,E06000022,Bath and North East Somerset,4520,0.314107019,9870,0.685892981,12.15
South West,E06000023,"Bristol, City of",14695,0.300173629,34260,0.699826371,9.7
South West,E06000024,North Somerset,5085,0.432030586,6685,0.567969414,10.58
South West,E06000025,South Gloucestershire,9455,0.485618901,10015,0.514381099,8.82
South West,E06000026,Plymouth,7245,0.327976460,14845,0.672023540,7.27
South West,E06000027,Torbay,2515,0.339406208,4895,0.660593792,8.9
South West,E06000030,Swindon,6530,0.417119131,9125,0.582880869,7.69
East of England,E06000031,Peterborough,5440,0.338835254,10615,0.661164746,7.34
East of England,E06000032,Luton,3785,0.271618227,10150,0.728381773,8.11
East of England,E06000033,Southend-on-Sea,4110,0.350383632,7620,0.649616368,11.13
East of England,E06000034,Thurrock,5125,0.460881295,5995,0.539118705,10.26
South East,E06000035,Medway,7665,0.429772918,10170,0.570227082,8.72
South East,E06000036,Bracknell Forest,3895,0.485660848,4125,0.514339152,9.05
South East,E06000037,West Berkshire,3510,0.413671184,4975,0.586328816,9.73
South East,E06000038,Reading,3915,0.260132890,11135,0.739867110,9.42
South East,E06000039,Slough,1995,0.245387454,6135,0.754612546,8.99
South East,E06000040,Windsor and Maidenhead,2420,0.348954578,4515,0.651045422,15.21
South East,E06000041,Wokingham,4560,0.530849825,4030,0.469150175,11.84
South East,E06000042,Milton Keynes,7415,0.391086498,11545,0.608913502,9.79
South East,E06000043,Brighton and Hove,4860,0.192895416,20335,0.807104584,12.86
South East,E06000044,Portsmouth,5035,0.273121779,13400,0.726878221,7.54
South East,E06000045,Southampton,6225,0.252894576,18390,0.747105424,7.33
South East,E06000046,Isle of Wight,2450,0.341939986,4715,0.658060014,10
North East,E06000047,County Durham,13305,0.358335578,23825,0.641664422,4.74
North West,E06000049,Cheshire East,10920,0.473649967,12135,0.526350033,8.79
North West,E06000050,Cheshire West and Chester,9650,0.426236749,12990,0.573763251,7.18
West Midlands,E06000051,Shropshire,6600,0.407156076,9610,0.592843924,9.05
South West,E06000052,Cornwall,11080,0.363875205,19370,0.636124795,10.99
South West,E06000054,Wiltshire,10620,0.383186000,17095,0.616814000,10.32
East of England,E06000055,Bedford,5025,0.415289256,7075,0.584710744,10.19
East of England,E06000056,Central Bedfordshire,9495,0.537655719,8165,0.462344281,10.8
North East,E06000057,Northumberland,7135,0.395839112,10890,0.604160888,6.77
South West,E06000058,"Bournemouth, Christchurch and Poole",8620,0.324426044,17950,0.675573956,11.17
South West,E06000059,Dorset,6375,0.394614670,9780,0.605385330,12.22
South East,E06000060,Buckinghamshire,12195,0.444262295,15255,0.555737705,12.35
East Midlands,E06000061,North Northamptonshire,9610,0.414492129,13575,0.585507871,8.2
East Midlands,E06000062,West Northamptonshire,11375,0.406177468,16630,0.593822532,9.53
East of England,E07000008,Cambridge,2285,0.169008876,11235,0.830991124,12.61
East of England,E07000009,East Cambridgeshire,2205,0.45,2695,0.55,10.66
East of England,E07000010,Fenland,2670,0.412355212,3805,0.587644788,8.91
East of England,E07000011,Huntingdonshire,5020,0.446023989,6235,0.553976011,9.62
East of England,E07000012,South Cambridgeshire,3620,0.430952381,4780,0.569047619,10.55
North West,E07000026,Allerdale,2595,0.453275109,3130,0.546724891,6.6
North West,E07000027,Barrow-in-Furness,2675,0.496750232,2710,0.503249768,3.74
North West,E07000028,Carlisle,3415,0.411445783,4885,0.588554217,5.41
