Figure 4: There is a large overlap in the affordability of housing in local authority districts between most English regions and Wales ,,,,
"Range of median housing affordability ratio in local authorities for English regions and Wales, England and Wales, 2021 ",,,,
Region code,Region name ,Code,Name,2021
E12000001,North East,E06000001,Hartlepool,4.58
E12000001,North East,E06000002,Middlesbrough,5.12
E12000001,North East,E06000003,Redcar and Cleveland,5.61
E12000001,North East,E06000004,Stockton-on-Tees,5.35
E12000001,North East,E06000005,Darlington,5.29
E12000001,North East,E06000047,County Durham,4.74
E12000001,North East,E06000057,Northumberland,6.77
E12000001,North East,E08000021,Newcastle upon Tyne,5.9
E12000001,North East,E08000022,North Tyneside,6.53
E12000001,North East,E08000023,South Tyneside,5.85
E12000001,North East,E08000024,Sunderland,4.96
E12000001,North East,E08000037,Gateshead,5.69
E12000002,North West,E06000006,Halton,5.47
E12000002,North West,E06000007,Warrington,7.08
E12000002,North West,E06000008,Blackburn with Darwen,4.85
E12000002,North West,E06000009,Blackpool,4.34
E12000002,North West,E06000049,Cheshire East,8.79
E12000002,North West,E06000050,Cheshire West and Chester,7.18
E12000002,North West,E07000026,Allerdale,6.6
E12000002,North West,E07000027,Barrow-in-Furness,3.74
E12000002,North West,E07000028,Carlisle,5.41
E12000002,North West,E07000029,Copeland,2.71
E12000002,North West,E07000030,Eden,8.39
E12000002,North West,E07000031,South Lakeland,10.12
E12000002,North West,E07000117,Burnley,4.69
E12000002,North West,E07000118,Chorley,7.02
E12000002,North West,E07000119,Fylde,6.75
E12000002,North West,E07000120,Hyndburn,4.26
E12000002,North West,E07000121,Lancaster,6.34
E12000002,North West,E07000122,Pendle,5.34
E12000002,North West,E07000123,Preston,5.54
E12000002,North West,E07000124,Ribble Valley,6.43
E12000002,North West,E07000125,Rossendale,7.12
E12000002,North West,E07000126,South Ribble,5.98
E12000002,North West,E07000127,West Lancashire,7.47
E12000002,North West,E07000128,Wyre,6.81
E12000002,North West,E08000001,Bolton,6.02
E12000002,North West,E08000002,Bury,7.5
E12000002,North West,E08000003,Manchester,6.67
E12000002,North West,E08000004,Oldham,5.99
E12000002,North West,E08000005,Rochdale,6.23
E12000002,North West,E08000006,Salford,6.74
E12000002,North West,E08000007,Stockport,10.01
E12000002,North West,E08000008,Tameside,6.61
